交易所,合约,合约名称,品种,合约乘数,开仓费率,开仓费/手,平仓费率,平仓费/手,平今仓费率,平今仓费/手,最新价,成交量,空盘量,1手开仓手续费,1手平仓手续费,1手平今仓手续费,做多保证金率,做多保证金/手,做空保证金率,做空保证金/手,做多1手保证金,做空1手保证金,最小跳动价位,1Tick盈亏
DCE,p2311,棕榈油2311,p,10,0.000000,2.5,0.000000,2.5,0.000000,1.25,7162.0,22434,46735.0,2.5,2.5,1.25,0.16999999999999998,0.0,0.16999999999999998,0.0,12175.4,12175.4,2.0,20.0
DCE,pp2311,聚丙烯2311,pp,5,0.000000,1.0,0.000000,1.0,0.000000,1.0,7931.0,41022,79679.0,1.0,1.0,1.0,0.18,0.0,0.18,0.0,7137.9,7137.9,1.0,5.0
INE,sc2403,sc2403,sc,1000,0.000000,20.0,0.000000,20.0,0.000000,0.0,653.2,13,65.0,20.0,20.0,0.0,0.16999999999999998,0.0,0.16999999999999998,0.0,111043.99999999999,111043.99999999999,0.1,100.0
INE,sc2312,sc2312,sc,1000,0.000000,20.0,0.000000,20.0,0.000000,0.0,675.7,19084,13902.0,20.0,20.0,0.0,0.16999999999999998,0.0,0.16999999999999998,0.0,114868.99999999999,114868.99999999999,0.1,100.0
INE,sc2406,sc2406,sc,1000,0.000000,20.0,0.000000,20.0,0.000000,0.0,639.4,0,399.0,20.0,20.0,0.0,0.16999999999999998,0.0,0.16999999999999998,0.0,108697.99999999999,108697.99999999999,0.1,100.0
SHFE,bu2312,bu2312,bu,10,0.000100,0.0,0.000100,0.0,0.000100,0.0,3826.0000000000005,47904,140760.0,3.826000000000001,3.826000000000001,3.826000000000001,0.16999999999999998,0.0,0.16999999999999998,0.0,6504.200000000001,6504.200000000001,1.0,10.0
INE,sc2412,sc2412,sc,1000,0.000000,20.0,0.000000,20.0,0.000000,0.0,608.1,1,46.0,20.0,20.0,0.0,0.16999999999999998,0.0,0.16999999999999998,0.0,103376.99999999999,103376.99999999999,0.1,100.0
INE,sc2409,sc2409,sc,1000,0.000000,20.0,0.000000,20.0,0.000000,0.0,619.3,0,16.0,20.0,20.0,0.0,0.16999999999999998,0.0,0.16999999999999998,0.0,105280.99999999999,105280.99999999999,0.1,100.0
INE,sc2503,sc2503,sc,1000,0.000000,20.0,0.000000,20.0,0.000000,0.0,602.5,0,28.0,20.0,20.0,0.0,0.16999999999999998,0.0,0.16999999999999998,0.0,102424.99999999999,102424.99999999999,0.1,100.0
SHFE,bu2403,bu2403,bu,10,0.000100,0.0,0.000100,0.0,0.000100,0.0,3764.0000000000005,511,10649.0,3.764000000000001,3.764000000000001,3.764000000000001,0.16999999999999998,0.0,0.16999999999999998,0.0,6398.800000000001,6398.800000000001,1.0,10.0
SHFE,bu2406,bu2406,bu,10,0.000100,0.0,0.000100,0.0,0.000100,0.0,3734.0000000000005,261,4101.0,3.734000000000001,3.734000000000001,3.734000000000001,0.16999999999999998,0.0,0.16999999999999998,0.0,6347.800000000001,6347.800000000001,1.0,10.0
INE,sc2506,sc2506,sc,1000,0.000000,20.0,0.000000,20.0,0.000000,0.0,601.4,0,13.0,20.0,20.0,0.0,0.16999999999999998,0.0,0.16999999999999998,0.0,102237.99999999999,102237.99999999999,0.1,100.0
INE,lu2311,lu2311,lu,10,0.000000,2.0,0.000000,2.0,0.000000,2.0,4708.0,8302,11467.0,2.0,2.0,2.0,0.16999999999999998,0.0,0.16999999999999998,0.0,8003.599999999999,8003.599999999999,1.0,10.0
INE,sc2311,sc2311,sc,1000,0.000000,20.0,0.000000,20.0,0.000000,0.0,686.7,147012,37404.0,20.0,20.0,0.0,0.16999999999999998,0.0,0.16999999999999998,0.0,116738.99999999999,116738.99999999999,0.1,100.0
